50 155.31000925 151.306560048052 159.313458451948
100 314.96001009 309.398811125024 320.521209054976
150 481.00000961 474.89643392864 487.103585291361
200 629.51001071 621.650393759583 637.369627660417
250 793.07000985 784.696074369911 801.443945330089
300 952.10001061 941.667868155525 962.532153064475
350 1106.66001056 1096.03080281086 1117.28921830914
400 1258.84000998 1249.38892532406 1268.29109463594
450 1414.12000975 1402.3491850514 1425.8908344486
500 1579.35001045 1567.27481593644 1591.42520496356
